,,,
,,,
Country (or dependent territory),Area,Population,population density
Macau (China),32.9,"696,100","21,158.05"
Monaco,2.02,"38,300","18,960.40"
Singapore,722.5,"5,703,600","7,894.26"
Hong Kong (China),"1,106","7,500,700","6,781.83"
Gibraltar (United Kingdom),6.8,"33,701","4,956.03"
Bahrain,778,"1,543,300","1,982.91"
Malta,315,"514,564","1,633.54"
Maldives,298,"374,775","1,257.63"
Bermuda (United Kingdom),52,"64,027","1,226.52"
Sint Maarten (Netherlands),34,"42,876","1,261"
Bangladesh,"143,998","175,843,248","1,221"
Vatican City,0.49,453,924.49
Jersey (United Kingdom),116,"104,200",898.28
Palestine,"6,020","4,976,684",826.69
Guernsey (United Kingdom),78,"62,723",804.14
Mayotte (France),374,"256,518",685.88
Lebanon,"10,452","6,855,713",672.06
Barbados,430,"287,025",667.5
Saint Martin (France),53.2,"35,107",659.91
Taiwan,"36,197","23,604,265",652.11
Mauritius,"2,040","1,265,577",620.38
Aruba (Netherlands),180,"112,309",624
San Marino,61,"34,641",567.89
Nauru,21,"11,200",533.33
South Korea,"100,210","51,780,579",516.72
Rwanda,"26,338","12,374,397",469.83
Comoros,"1,861","873,724",469.49
Saint Barthélemy (France),21,"9,427",448.9
Netherlands,"41,526","17,681,428",426
Israel,"22,072","9,780,380",443
Haiti,"27,065","11,263,077",416.15
India,"3,287,263","1,407,563,842",411.48
Burundi,"27,816","11,215,578",403.21
Tuvalu,26,"10,300",396.15
Belgium,"30,689","11,524,454",375.52
Philippines,"300,000","114,246,631",381
Curaçao (Netherlands),444,"158,665",357.35
Puerto Rico (United States),"9,104","3,195,153",350.96
Réunion (France),"2,503.70","850,996",339.89
Japan,"377,975","126,010,000",333.38
Sri Lanka,"65,610","21,803,000",332.31
Martinique (France),"1,128","371,246",329.12
Guam (United States),541,"175,200",323.84
El Salvador,"21,040","6,704,864",318.67
Grenada,344,"108,825",316.35
Marshall Islands,181,"55,900",308.84
United States Virgin Islands (United States),352,"104,909",298.04
Saint Lucia,617,"180,454",292.47
Vietnam,"331,212","96,208,984",290.48
American Samoa (United States),197,"57,100",289.85
Saint Vincent and the Grenadines,389,"110,520",284.11
United Kingdom,"242,495","67,886,004",279.95
Pakistan,"803,940","222,827,217",277
Trinidad and Tobago,"5,155","1,363,985",264.59
Cayman Islands (United Kingdom),259,"65,813",254.1
Jamaica,"10,991","2,726,667",248.08
Kuwait,"17,818","4,420,110",248.07
Guadeloupe (France),"1,628.40","395,725",243.01
Liechtenstein,160,"38,380",239.88
Luxembourg,"2,586","613,894",237.39
Qatar,"11,571","2,740,479",236.84
Antigua and Barbuda,442,"104,084",235.48
Germany,"357,168","83,149,300",232.8
Nigeria,"923,768","200,962,000",217.55
Dominican Republic,"47,875","10,358,320",216.36
British Virgin Islands (United Kingdom),151,"32,206",213.28
Seychelles,455,"96,762",212.66
North Korea,"120,540","25,549,604",211.96
Saint Kitts and Nevis,270,"56,345",208.69
Gambia,"10,690","2,228,075",208.43
Switzerland,"41,285","8,586,550",207.98
São Tomé and Príncipe,"1,001","201,784",201.58
Nepal,"147,516","29,609,623",200.72
Italy,"301,308","60,252,824",199.97
Uganda,"241,551","40,006,700",165.62
Kosovo,"10,910","1,795,666",164.59
Andorra,464,"76,177",164.17
Guatemala,"108,889","17,679,735",162.36
Kiribati,811,"125,000",154.13
Sint Eustatius (Netherlands),21,"3,193",152.05
Federated States of Micronesia,701,"105,600",150.64
Saba (Netherlands),13,"1,947",149.77
Cyprus,"5,896","875,900",148.56
Malawi,"118,484","17,563,749",148.24
Isle of Man (United Kingdom),572,"83,314",145.65
China,"9,640,821","1,421,312,720",147
Indonesia,"1,904,569","268,074,600",140.75
Tokelau (New Zealand),10,"1,400",140
Anguilla (United Kingdom),96,"13,452",140.13
Tonga,720,"100,000",138.89
Cape Verde,"4,033","550,483",136.49
Czech Republic,"78,867","10,681,161",135.43
Denmark,"43,098","5,814,461",134.91
Togo,"56,600","7,538,000",133.18
Thailand,"513,120","67,003,205",131
Ghana,"238,533","30,280,811",126.95
Northern Mariana Islands (United States),457,"56,600",123.85
France,"543,965","67,060,000",123.28
Poland,"312,685","38,386,000",122.76
Jordan,"89,342","11,610,868",130
